city,local,total_price,unit_price,layout,area,floor,time
苏州,昆山,173.0,10035,3室1厅,172.4,48.0,2021-03-18
北京,朝阳,645.0,75731,2室1厅,85.17,6.0,2020-09-20
苏州,工业园区,120.0,28170,1室1厅,42.6,4.0,2021-03-21
苏州,相城,172.0,21492,2室1厅,80.03,30.0,2021-03-24
苏州,昆山,180.0,20738,3室1厅,86.8,30.0,2021-03-28
北京,昌平,590.0,68043,2室1厅,86.71,11.0,2021-03-18
苏州,昆山,400.0,21425,4室2厅,186.7,7.0,2021-03-25
苏州,昆山,150.0,14923,2室2厅,100.52,7.0,2021-02-23
苏州,昆山,202.0,21843,4室2厅,92.48,34.0,2021-03-28
苏州,昆山,173.0,17788,2室2厅,97.26,31.0,2021-04-02
苏州,吴中,233.0,29520,2室1厅,78.93,35.0,2021-03-25
苏州,吴江,197.0,22670,3室1厅,86.9,31.0,2021-03-28
北京,石景山,216.0,37625,2室1厅,57.41,6.0,2021-04-01
北京,朝阳,480.0,78831,2室1厅,60.89,6.0,2021-03-30
苏州,高新,300.0,34463,3室2厅,87.05,23.0,2021-03-23
苏州,昆山,75.0,12932,2室1厅,58.0,10.0,2021-03-19
苏州,工业园区,355.0,46859,2室2厅,75.76,24.0,2020-11-11
苏州,工业园区,238.0,27432,2室2厅,86.76,18.0,2021-03-08
苏州,相城,225.4,22879,3室2厅,98.52,24.0,2021-03-21
北京,昌平,460.0,46526,2室1厅,98.87,6.0,2021-04-02
苏州,昆山,192.0,23559,3室2厅,81.5,18.0,2021-03-24
苏州,高新,223.0,25057,3室2厅,89.0,11.0,2021-03-07
北京,朝阳,1010.0,92848,2室1厅,108.78,16.0,2021-03-22
苏州,高新,328.1,37511,3室2厅,87.47,30.0,2021-03-27
苏州,昆山,98.0,10899,2室1厅,89.92,6.0,2021-03-02
苏州,相城,265.0,21970,3室2厅,120.62,6.0,2021-02-26
苏州,昆山,249.5,24271,4室2厅,102.8,6.0,2021-04-02
苏州,昆山,152.0,12767,3室2厅,119.06,11.0,2021-03-28
苏州,吴江,354.0,26555,4室2厅,133.31,34.0,2019-06-13
苏州,姑苏,343.0,36362,2室1厅,94.33,18.0,2021-03-28
苏州,昆山,190.0,18983,2室2厅,100.09,6.0,2020-11-27
苏州,昆山,158.0,17504,3室2厅,90.27,26.0,2021-03-17
北京,丰台,599.0,61405,2室2厅,97.55,21.0,2021-03-28
北京,朝阳,735.0,115767,2室1厅,63.49,6.0,2021-03-30
苏州,姑苏,51.0,21870,1室1厅,23.32,22.0,2021-03-11
苏州,昆山,125.0,19158,2室1厅,65.25,18.0,2021-03-30
苏州,高新,278.0,19808,4室2厅,140.35,6.0,2021-01-23
苏州,姑苏,633.5,50551,3室2厅,125.32,25.0,2021-01-30
北京,昌平,420.0,44220,2室1厅,94.98,6.0,2021-03-29
北京,丰台,329.0,69410,1室1厅,47.4,32.0,2021-03-27
北京,海淀,599.0,110314,2室1厅,54.3,5.0,2021-03-30
成都,郫都,106.5,9245,3室1厅,115.2,11.0,2021-04-01
苏州,工业园区,241.0,27061,2室2厅,89.06,18.0,2020-11-24
苏州,工业园区,249.0,57988,1室1厅,42.94,18.0,2021-03-23
苏州,工业园区,468.0,48463,3室1厅,96.57,28.0,2021-03-30
成都,高新西,240.0,15039,4室1厅,159.59,18.0,2021-03-10
苏州,吴中,215.0,23526,2室2厅,91.39,17.0,2021-03-17
苏州,高新,195.0,21672,3室2厅,89.98,18.0,2021-01-08
苏州,昆山,239.0,17704,3室2厅,135.0,11.0,2021-03-29
苏州,工业园区,420.0,47853,2室2厅,87.77,13.0,2021-02-19
苏州,张家港,276.0,19695,4室2厅,140.14,21.0,2021-03-25
