city,date,bad,die,good
安徽,2020/2/29,990,6,888
安徽,2020/3/31,990,6,984
安徽,2020/4/30,991,6,985
安徽,2020/5/31,991,6,985
安徽,2020/6/30,991,6,985
安徽,2020/7/31,991,6,985
安徽,2020/8/31,991,6,985
安徽,2020/9/30,991,6,985
安徽,2020/10/31,991,6,985
安徽,2020/11/30,992,6,986
安徽,2020/12/31,993,6,986
北京,2020/2/29,411,8,271
北京,2020/3/31,580,8,418
北京,2020/4/30,593,9,547
北京,2020/5/31,593,9,581
北京,2020/6/30,922,9,587
北京,2020/7/31,933,9,915
北京,2020/8/31,935,9,926
北京,2020/9/30,936,9,926
北京,2020/10/31,942,9,929
北京,2020/11/30,951,9,938
北京,2020/12/31,987,9,944
福建,2020/2/29,296,1,243
福建,2020/3/31,345,1,297
福建,2020/4/30,356,1,353
福建,2020/5/31,358,1,356
福建,2020/6/30,363,1,359
福建,2020/7/31,366,1,363
福建,2020/8/31,383,1,368
福建,2020/9/30,409,1,390
福建,2020/10/31,436,1,410
福建,2020/11/30,487,1,443
福建,2020/12/31,512,1,487
甘肃,2020/2/29,91,2,84
甘肃,2020/3/31,138,2,125
甘肃,2020/4/30,139,2,137
甘肃,2020/5/31,139,2,137
甘肃,2020/6/30,164,2,146
甘肃,2020/7/31,167,2,165
甘肃,2020/8/31,169,2,167
甘肃,2020/9/30,170,2,168
甘肃,2020/10/31,177,2,168
甘肃,2020/11/30,182,2,179
甘肃,2020/12/31,186,1,180
广西,2020/2/29,252,2,179
广西,2020/3/31,254,2,250
广西,2020/4/30,254,2,252
广西,2020/5/31,254,2,252
广西,2020/6/30,254,2,252
广西,2020/7/31,255,2,253
广西,2020/8/31,255,2,253
广西,2020/9/30,259,2,255
广西,2020/10/31,260,2,258
广西,2020/11/30,263,2,259
广西,2020/12/31,264,2,261
广东,2020/2/29,1349,7,1009
广东,2020/3/31,1501,8,1357
广东,2020/4/30,1588,8,1565
广东,2020/5/31,1595,8,1583
广东,2020/6/30,1641,8,1627
广东,2020/7/31,1680,8,1653
广东,2020/8/31,1740,8,1721
广东,2020/9/30,1829,8,1799
广东,2020/10/31,1922,8,1882
广东,2020/11/30,1989,8,1950
广东,2020/12/31,2046,8,2010
