店铺ID,店铺名,地区名,月售
c913b32b-7726-11ea-98c9-525400c74cae,"老板-打包!",江阴市,384
3d8ab846-7725-11ea-98c9-525400c74cae,1+7水饺店(金科世界城店),滨湖区,627
3d8abcbb-7725-11ea-98c9-525400c74cae,12茶欧包（茂业店）,滨湖区,297
3d8abd75-7725-11ea-98c9-525400c74cae,1314一杯会说话的茶(建筑路店),滨湖区,591
3d8abdb3-7725-11ea-98c9-525400c74cae,1881半岛,滨湖区,1150
b7d7c845-741f-11ea-98c9-525400c74cae,1973继光香香鸡（荟聚店）,锡山区,495
3d8abdf3-7725-11ea-98c9-525400c74cae,1点点（万象城店）,滨湖区,2229
3d8abe38-7725-11ea-98c9-525400c74cae,1点点（中桥乐购店）,滨湖区,1461
3d8abe74-7725-11ea-98c9-525400c74cae,1点点（中桥店）,滨湖区,621
3d8abeaf-7725-11ea-98c9-525400c74cae,1点点（奥林花园店）,滨湖区,2503
3d8abee9-7725-11ea-98c9-525400c74cae,1点点（建筑路大统华店）,滨湖区,1947
6ad777b1-7727-11ea-98c9-525400c74cae,28密友茶（西横街店）,宜兴市,829
3d8abf22-7725-11ea-98c9-525400c74cae,35秒烤肉拌饭,滨湖区,989
c912e125-7726-11ea-98c9-525400c74cae,50岚（青果路店）,江阴市,1098
3d8ac178-7725-11ea-98c9-525400c74cae,7分甜（万象城店）,滨湖区,1150
b7d7d26f-741f-11ea-98c9-525400c74cae,7分甜（东亭新光中路店）,锡山区,371
c912e24f-7726-11ea-98c9-525400c74cae,7分甜（八佰伴澄星店）,江阴市,2899
c912e28c-7726-11ea-98c9-525400c74cae,7分甜（印象汇店）,江阴市,578
b7d7d929-741f-11ea-98c9-525400c74cae,7分甜（张泾星邻里广场店）,锡山区,2915
b7d7f0a6-741f-11ea-98c9-525400c74cae,7分甜（润发购物中心店）,锡山区,924
b7d7d693-741f-11ea-98c9-525400c74cae,7分甜（荟聚中心店）,锡山区,968
b7d7d405-741f-11ea-98c9-525400c74cae,7分甜（锡山星叶广场店）,锡山区,310
3d8ac1bd-7725-11ea-98c9-525400c74cae,82年叫花鸡（滨湖店）,滨湖区,1382
3d8ac1fe-7725-11ea-98c9-525400c74cae,82年叫花鸡（芦庄店）,滨湖区,1406
b7d79e17-741f-11ea-98c9-525400c74cae,8寸披萨（丰汇欢乐广场店）,锡山区,506
3d8ac239-7725-11ea-98c9-525400c74cae,9味龙虾酸菜鱼（东绛店）,滨湖区,2748
3d8ac275-7725-11ea-98c9-525400c74cae,Agan海仙炒饭(滨湖店),滨湖区,1074
b7d7e61c-741f-11ea-98c9-525400c74cae,CALBEZZA卡焙滋烘焙（凯旋门店）,锡山区,194
3d8ac2e9-7725-11ea-98c9-525400c74cae,ChatBall茶丸（万象城店）,滨湖区,857
3d8ac322-7725-11ea-98c9-525400c74cae,ChatBall茶丸（海岸城店）,滨湖区,1015
3d8ac366-7725-11ea-98c9-525400c74cae,CoCo都可（万象城店）,滨湖区,1425
b7d81535-741f-11ea-98c9-525400c74cae,CoCo都可（东港红豆店）,锡山区,486
b7d7a8b5-741f-11ea-98c9-525400c74cae,CoCo都可（华夏乐购店）,锡山区,196
b7d7f663-741f-11ea-98c9-525400c74cae,CoCo都可（安镇润发店）,锡山区,554
3d8ac3bb-7725-11ea-98c9-525400c74cae,CoCo都可（无锡阳光店）,滨湖区,1890
b7d7feb5-741f-11ea-98c9-525400c74cae,CoCo都可（荟聚二店）,锡山区,253
b7d7a875-741f-11ea-98c9-525400c74cae,Coffee N°6 6号花园咖啡,锡山区,578
b7d81d53-741f-11ea-98c9-525400c74cae,DQ（荟聚中心店）,锡山区,388
6ad77bfc-7727-11ea-98c9-525400c74cae,FTEA绯茶,宜兴市,844
b7d7fdd4-741f-11ea-98c9-525400c74cae,HEY JUICE茶桔便（东北塘店）,锡山区,2307
3d8ac5c3-7725-11ea-98c9-525400c74cae,HEY JUICE茶桔便（湖滨店）,滨湖区,316
3d8ac56b-7725-11ea-98c9-525400c74cae,Hey Juice茶桔便（东绛店）,滨湖区,3092
3d8ac4d7-7725-11ea-98c9-525400c74cae,Hey juice 茶桔便（八方汇店）,滨湖区,1514
b7d80308-741f-11ea-98c9-525400c74cae,HeyJuice茶桔便（锡东店）,锡山区,725
b7d7dd44-741f-11ea-98c9-525400c74cae,INCHA印茶（正大美食店）,锡山区,1679
b7d7ed70-741f-11ea-98c9-525400c74cae,KOI Thé（无锡荟聚中心店）,锡山区,2053
3d8ac665-7725-11ea-98c9-525400c74cae,LAMERKATO COFFEE,滨湖区,254
3d8ac615-7725-11ea-98c9-525400c74cae,Lahore拉合尔茶餐厅,滨湖区,400
3d8ac837-7725-11ea-98c9-525400c74cae,MOOTEA末茶（八方汇店）,滨湖区,1349
3d8ac898-7725-11ea-98c9-525400c74cae,MOOTEA末茶（建筑路店）,滨湖区,377
b7d814c5-741f-11ea-98c9-525400c74cae,MU.BAKERY麦卡秀手工烘焙（荡口店）,锡山区,225
b7d814fd-741f-11ea-98c9-525400c74cae,Macau Taste澳門味道（荟聚店）,锡山区,424
3d8ac6b8-7725-11ea-98c9-525400c74cae,Max&Salad大开沙界·轻食·沙拉（城开国际店）,滨湖区,1686
3d8ac708-7725-11ea-98c9-525400c74cae,Max&salad大开沙界（海岸城店）,滨湖区,1800
3d8ac8f6-7725-11ea-98c9-525400c74cae,Mr.Clou鲜榨果汁（海岸城八方汇店）,滨湖区,2252
6ad77edd-7727-11ea-98c9-525400c74cae,Mr.Pizza米斯特比萨（宜兴万达广场店）,宜兴市,1177
b7d7af45-741f-11ea-98c9-525400c74cae,N多寿司（东亭店）,锡山区,1590
b7d7b36b-741f-11ea-98c9-525400c74cae,N多寿司（东北塘店）,锡山区,851
b7d7ee64-741f-11ea-98c9-525400c74cae,N多寿司（东港店）,锡山区,586
3d8ac9ca-7725-11ea-98c9-525400c74cae,N多寿司（中医院店）,滨湖区,312
b7d79fd9-741f-11ea-98c9-525400c74cae,N多寿司（丰汇欢乐广场店）,锡山区,762
b7d7bd22-741f-11ea-98c9-525400c74cae,N多寿司（八士店）,锡山区,1718
dcea345d-7727-11ea-98c9-525400c74cae,N多寿司（南禅寺店）,梁溪区,569
c912ea13-7726-11ea-98c9-525400c74cae,N多寿司（司马街店）,江阴市,944
dcea3497-7727-11ea-98c9-525400c74cae,N多寿司（塘南路店）,梁溪区,325
dcea3509-7727-11ea-98c9-525400c74cae,N多寿司（广益哥伦布店）,梁溪区,1699
c912ea4d-7726-11ea-98c9-525400c74cae,N多寿司（文化中路店）,江阴市,533
dcea3544-7727-11ea-98c9-525400c74cae,N多寿司（春申路店）,梁溪区,2978
3d8aca20-7725-11ea-98c9-525400c74cae,N多寿司（海上传奇店）,滨湖区,991
b7d7caed-741f-11ea-98c9-525400c74cae,N多寿司（润发购物中心店）,锡山区,1041
3d8aca71-7725-11ea-98c9-525400c74cae,N多寿司（滨湖蠡湖店）,滨湖区,1176
dcea357f-7727-11ea-98c9-525400c74cae,N多寿司（盛岸路店）,梁溪区,160
b7d7bafb-741f-11ea-98c9-525400c74cae,N多寿司（荟聚店）,锡山区,160
b7d7e0bb-741f-11ea-98c9-525400c74cae,N多寿司（荡口店）,锡山区,259
b7d7f5bf-741f-11ea-98c9-525400c74cae,PAGODA百果园（蔚蓝都市店）,锡山区,1020
3d8acac6-7725-11ea-98c9-525400c74cae,R&B巡茶（星光广场店）,滨湖区,708
b7d7e018-741f-11ea-98c9-525400c74cae,R&B珍奶（东湖塘中学店）,锡山区,472
b7d7b10c-741f-11ea-98c9-525400c74cae,R&B珍奶（八士商业街店）,锡山区,598
b7d80364-741f-11ea-98c9-525400c74cae,R&B珍奶（安镇中学店）,锡山区,603
b7d7d968-741f-11ea-98c9-525400c74cae,R&B珍奶（张泾店）,锡山区,358
b7d7f277-741f-11ea-98c9-525400c74cae,R&B珍奶（羊尖中学店）,锡山区,1720
dcea37a8-7727-11ea-98c9-525400c74cae,RB巡茶（胜利门茂业店）,梁溪区,2222
3d8acb1e-7725-11ea-98c9-525400c74cae,RandB珍奶会所（八方汇店）,滨湖区,1610
3d8acc7a-7725-11ea-98c9-525400c74cae,TRDLO泰德罗轻食（茂业店）,滨湖区,478
3d8acc2b-7725-11ea-98c9-525400c74cae,Tealeer茶来乐（金融街店）,滨湖区,940
b7d8077c-741f-11ea-98c9-525400c74cae,WARLOCK（荟聚购物中心店）,锡山区,333
b7d7e4c1-741f-11ea-98c9-525400c74cae,Yearn Tours妍图（荟聚店）,锡山区,184
b7d7d3cc-741f-11ea-98c9-525400c74cae,allyeh傲椰（荟聚中心店）,锡山区,682
3d8ac2ae-7725-11ea-98c9-525400c74cae,bbq比比客橄榄油炸鸡,滨湖区,1796
b7d7e083-741f-11ea-98c9-525400c74cae,grace cake格丽思（锡州中路店）,锡山区,613
3d8acb77-7725-11ea-98c9-525400c74cae,royaltea皇茶(山明店),滨湖区,1196
3d8acbd4-7725-11ea-98c9-525400c74cae,royaltea皇茶（建筑路店）,滨湖区,2701
b7d80258-741f-11ea-98c9-525400c74cae,sister·GU私家烘焙高端蛋糕定制,锡山区,592
3d8acd17-7725-11ea-98c9-525400c74cae,ufarm精品生鲜超市,滨湖区,594
3d8acdba-7725-11ea-98c9-525400c74cae,一品渝香干锅鸭头,滨湖区,483
3d8ace07-7725-11ea-98c9-525400c74cae,一品烤鱼（东降店）,滨湖区,1221
3d8ace56-7725-11ea-98c9-525400c74cae,一品锅贴酸辣汤（建筑西路店）,滨湖区,825
3d8ace9f-7725-11ea-98c9-525400c74cae,一唔一食,滨湖区,1431
3d8aceed-7725-11ea-98c9-525400c74cae,一姐麻辣烫,滨湖区,1077
3d8acf3a-7725-11ea-98c9-525400c74cae,一家湘菜馆,滨湖区,1821
3d8acf89-7725-11ea-98c9-525400c74cae,一粥七天养生粥馆（总店）,滨湖区,1452
3d8acfd9-7725-11ea-98c9-525400c74cae,一粥七天石锅拌饭,滨湖区,1827
3d8ad02b-7725-11ea-98c9-525400c74cae,一茶一坐（万象城）,滨湖区,923
c435157a-741d-11ea-98c9-525400c74cae,七串串（总店）,新吴区,1026
3d8ad077-7725-11ea-98c9-525400c74cae,七品香豆腐（中桥店）,滨湖区,327
3d8ad0ca-7725-11ea-98c9-525400c74cae,七彩森林烘焙,滨湖区,715
3d8ad120-7725-11ea-98c9-525400c74cae,七欣天品蟹轩(无锡湖滨商业街店）,滨湖区,1531
dcea475e-7727-11ea-98c9-525400c74cae,七欣天品蟹轩（无锡中山路红豆万花城店）,梁溪区,1065
b7d81e73-741f-11ea-98c9-525400c74cae,七欣天品蟹轩（无锡友谊南路店）,锡山区,790
3d8ad179-7725-11ea-98c9-525400c74cae,万记鱼虾传奇,滨湖区,2288
3d8ad230-7725-11ea-98c9-525400c74cae,万里香手工饺子馆,滨湖区,610
3d8ad338-7725-11ea-98c9-525400c74cae,三个先森的韩国炸鸡（太湖新城店）,滨湖区,1186
3d8ad4e7-7725-11ea-98c9-525400c74cae,三个先森的韩国炸鸡（孔雀城店）,滨湖区,666
