ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2019-01-01,-12℃,-21℃,多云,西南风,3级,63,良,2
2019-01-02,-10℃,-19℃,晴,西南风,2级,73,良,2
2019-01-03,-10℃,-21℃,多云~小雪,西南风,3级,126,轻度污染,3
2019-01-04,-9℃,-21℃,多云,西南风,3级,58,良,2
2019-01-05,-10℃,-19℃,晴,西北风,2级,55,良,2
2019-01-06,-10℃,-21℃,晴~多云,西南风,2级,122,轻度污染,3
2019-01-07,-9℃,-23℃,晴~多云,西南风,2级,183,中度污染,4
2019-01-08,-12℃,-20℃,晴,西南风,3级,75,良,2
2019-01-09,-6℃,-15℃,晴,西南风,4级,83,良,2
2019-01-10,-5℃,-17℃,晴,西南风,2级,89,良,2
2019-01-11,-4℃,-17℃,晴,南风,2级,184,中度污染,4
2019-01-12,-2℃,-14℃,晴,东南风,2级,179,中度污染,4
2019-01-13,-6℃,-16℃,霾~多云,西南风,2级,283,重度污染,5
2019-01-14,-9℃,-18℃,多云~阵雪,西南风,2级,229,重度污染,5
2019-01-15,-13℃,-22℃,多云~晴,西北风,3级,100,良,2
2019-01-16,-11℃,-24℃,晴,西南风,3级,47,优,1
2019-01-17,-15℃,-24℃,晴,西北风,2级,48,优,1
2019-01-18,-12℃,-23℃,晴,西南风,2级,136,轻度污染,3
2019-01-19,-9℃,-24℃,多云,西南风,2级,149,轻度污染,3
2019-01-20,-8℃,-19℃,晴,西北风,2级,57,良,2
2019-01-21,-8℃,-15℃,多云,东南风,2级,100,良,2
2019-01-22,-3℃,-17℃,多云,西南风,3级,86,良,2
2019-01-23,-8℃,-19℃,晴,西北风,2级,56,良,2
2019-01-24,-7℃,-16℃,多云,西南风,2级,88,良,2
2019-01-25,-7℃,-18℃,多云,西北风,2级,64,良,2
2019-01-26,-6℃,-15℃,晴,西南风,3级,88,良,2
2019-01-27,-2℃,-14℃,晴~阴,西南风,4级,103,轻度污染,3
2019-01-28,-6℃,-15℃,多云~晴,西北风,3级,55,良,2
2019-01-29,-1℃,-15℃,多云~晴,西南风,4级,86,良,2
2019-01-30,-8℃,-19℃,多云,西南风,4级,100,良,2
2019-01-31,-7℃,-17℃,晴,西南风,3级,55,良,2
2019-02-01,-5℃,-18℃,多云,西南风,2级,152,中度污染,4
2019-02-02,-3℃,-16℃,多云~阴,东南风,3级,147,轻度污染,3
2019-02-03,-6℃,-21℃,多云,西北风,3级,110,轻度污染,3
2019-02-04,-12℃,-22℃,多云~阵雪,西南风,3级,40,优,1
2019-02-05,-14℃,-23℃,多云,西北风,3级,62,良,2
2019-02-06,-15℃,-24℃,多云,西北风,3级,44,优,1
2019-02-07,-17℃,-23℃,晴,西北风,3级,56,良,2
2019-02-08,-12℃,-22℃,晴~多云,西风,3级,68,良,2
2019-02-09,-9℃,-22℃,多云~晴,西北风,2级,136,轻度污染,3
2019-02-10,-8℃,-21℃,晴,西南风,2级,101,轻度污染,3
2019-02-11,-7℃,-21℃,晴,西南风,2级,136,轻度污染,3
2019-02-12,-9℃,-20℃,晴,西南风,3级,71,良,2
2019-02-13,-6℃,-17℃,晴~多云,西南风,2级,79,良,2
2019-02-14,-5℃,-16℃,晴~多云,西南风,3级,96,良,2
2019-02-15,-4℃,-18℃,多云~晴,西南风,2级,187,中度污染,4
2019-02-16,-3℃,-14℃,晴,西南风,3级,78,良,2
2019-02-17,-1℃,-11℃,晴,西南风,3级,64,良,2
